sample	file_name	type	day
C830-d14-WRC_R1	NS.2055.003.IDT_i7_70---IDT_i5_70.C830-d14-WRC_R1	rumen	14
C830-d14-WRC_R2	NS.2055.003.IDT_i7_70---IDT_i5_70.C830-d14-WRC_R2	rumen	14
C830-d21-M_R1	NS.2055.002.IDT_i7_104---IDT_i5_104.C830-d21-M_R1	milk	21
C830-d21-M_R2	NS.2055.002.IDT_i7_104---IDT_i5_104.C830-d21-M_R2	milk	21
C830-d21-WRC_R1	NS.2055.003.IDT_i7_88---IDT_i5_88.C830-d21-WRC_R1	rumen	21
C830-d21-WRC_R2	NS.2055.003.IDT_i7_88---IDT_i5_88.C830-d21-WRC_R2	rumen	21
C830-d28-M_R1	NS.2055.002.IDT_i7_37---IDT_i5_37.C830-d28-M_R1	milk	28
C830-d28-M_R2	NS.2055.002.IDT_i7_37---IDT_i5_37.C830-d28-M_R2	milk	28
C830-d28-WRC_R1	NS.2055.003.IDT_i7_91---IDT_i5_91.C830-d28-WRC_R1	rumen	28
C830-d28-WRC_R2	NS.2055.003.IDT_i7_91---IDT_i5_91.C830-d28-WRC_R2	rumen	28
C830-d2-M_R1	NS.2055.002.IDT_i7_185---IDT_i5_185.C830-d2-M_R1	milk	2
C830-d2-M_R2	NS.2055.002.IDT_i7_185---IDT_i5_185.C830-d2-M_R2	milk	2
C830-d2-WRC_R1	NS.2055.003.IDT_i7_17---IDT_i5_17.C830-d2-WRC_R1	rumen	2
C830-d2-WRC_R2	NS.2055.003.IDT_i7_17---IDT_i5_17.C830-d2-WRC_R2	rumen	2
C830-d7-M_R1	NS.2055.002.IDT_i7_174---IDT_i5_174.C830-d7-M_R1	milk	7
C830-d7-M_R2	NS.2055.002.IDT_i7_174---IDT_i5_174.C830-d7-M_R2	milk	7
C830-d7-WRC_R1	NS.2055.003.IDT_i7_81---IDT_i5_81.C830-d7-WRC_R1	rumen	7
C830-d7-WRC_R2	NS.2055.003.IDT_i7_81---IDT_i5_81.C830-d7-WRC_R2	rumen	7
C843-d14-M_R1	NS.2055.002.IDT_i7_176---IDT_i5_176.C843-d14-M_R1	milk	14
C843-d14-M_R2	NS.2055.002.IDT_i7_176---IDT_i5_176.C843-d14-M_R2	milk	14
C843-d14-WRC_R1	NS.2055.003.IDT_i7_22---IDT_i5_22.C843-d14-WRC_R1	rumen	14
C843-d14-WRC_R2	NS.2055.003.IDT_i7_22---IDT_i5_22.C843-d14-WRC_R2	rumen	14
C843-d21-M_R1	NS.2055.002.IDT_i7_116---IDT_i5_116.C843-d21-M_R1	milk	21
C843-d21-M_R2	NS.2055.002.IDT_i7_116---IDT_i5_116.C843-d21-M_R2	milk	21
C843-d21-WRC_R1	NS.2055.003.IDT_i7_10---IDT_i5_10.C843-d21-WRC_R1	rumen	21
C843-d21-WRC_R2	NS.2055.003.IDT_i7_10---IDT_i5_10.C843-d21-WRC_R2	rumen	21
C843-d28-M_R1	NS.2055.002.IDT_i7_61---IDT_i5_61.C843-d28-M_R1	milk	28
C843-d28-M_R2	NS.2055.002.IDT_i7_61---IDT_i5_61.C843-d28-M_R2	milk	28
C843-d28-WRC_R1	NS.2055.003.IDT_i7_6---IDT_i5_6.C843-d28-WRC_R1	rumen	28
C843-d28-WRC_R2	NS.2055.003.IDT_i7_6---IDT_i5_6.C843-d28-WRC_R2	rumen	28
C843-d2-M_R1	NS.2055.002.IDT_i7_102---IDT_i5_102.C843-d2-M_R1	milk	2
C843-d2-M_R2	NS.2055.002.IDT_i7_102---IDT_i5_102.C843-d2-M_R2	milk	2
C843-d2-WRC_R1	NS.2055.003.IDT_i7_67---IDT_i5_67.C843-d2-WRC_R1	rumen	2
C843-d2-WRC_R2	NS.2055.003.IDT_i7_67---IDT_i5_67.C843-d2-WRC_R2	rumen	2
C843-d7-M_R1	NS.2055.002.IDT_i7_186---IDT_i5_186.C843-d7-M_R1	milk	7
C843-d7-M_R2	NS.2055.002.IDT_i7_186---IDT_i5_186.C843-d7-M_R2	milk	7
C843-d7-WRC_R1	NS.2055.003.IDT_i7_30---IDT_i5_30.C843-d7-WRC_R1	rumen	7
C843-d7-WRC_R2	NS.2055.003.IDT_i7_30---IDT_i5_30.C843-d7-WRC_R2	rumen	7
C844-d14-M_R1	NS.2055.002.IDT_i7_188---IDT_i5_188.C844-d14-M_R1	milk	14
C844-d14-M_R2	NS.2055.002.IDT_i7_188---IDT_i5_188.C844-d14-M_R2	milk	14
C844-d14-WRC_R1	NS.2055.003.IDT_i7_207---IDT_i5_207.C844-d14-WRC_R1	rumen	14
C844-d14-WRC_R2	NS.2055.003.IDT_i7_207---IDT_i5_207.C844-d14-WRC_R2	rumen	14
C844-d21-M_R1	NS.2055.002.IDT_i7_128---IDT_i5_128.C844-d21-M_R1	milk	21
C844-d21-M_R2	NS.2055.002.IDT_i7_128---IDT_i5_128.C844-d21-M_R2	milk	21
C844-d21-WRC_R1	NS.2055.003.IDT_i7_266---IDT_i5_266.C844-d21-WRC_R1	rumen	21
C844-d21-WRC_R2	NS.2055.003.IDT_i7_266---IDT_i5_266.C844-d21-WRC_R2	rumen	21
C844-d28-M_R1	NS.2055.002.IDT_i7_85---IDT_i5_85.C844-d28-M_R1	milk	28
C844-d28-M_R2	NS.2055.002.IDT_i7_85---IDT_i5_85.C844-d28-M_R2	milk	28
C844-d28-WRC_R1	NS.2055.003.IDT_i7_31---IDT_i5_31.C844-d28-WRC_R1	rumen	28
C844-d28-WRC_R2	NS.2055.003.IDT_i7_31---IDT_i5_31.C844-d28-WRC_R2	rumen	28
C844-d2-M_R1	NS.2055.002.IDT_i7_114---IDT_i5_114.C844-d2-M_R1	milk	2
C844-d2-M_R2	NS.2055.002.IDT_i7_114---IDT_i5_114.C844-d2-M_R2	milk	2
C844-d2-WRC_R1	NS.2055.003.IDT_i7_42---IDT_i5_42.C844-d2-WRC_R1	rumen	2
C844-d2-WRC_R2	NS.2055.003.IDT_i7_42---IDT_i5_42.C844-d2-WRC_R2	rumen	2
C844-d7-WRC_R1	NS.2055.003.IDT_i7_90---IDT_i5_90.C844-d7-WRC_R1	rumen	7
C844-d7-WRC_R2	NS.2055.003.IDT_i7_90---IDT_i5_90.C844-d7-WRC_R2	rumen	7
C847-d14-M_R1	NS.2055.003.IDT_i7_265---IDT_i5_265.C847-d14-M_R1	milk	14
C847-d14-M_R2	NS.2055.003.IDT_i7_265---IDT_i5_265.C847-d14-M_R2	milk	14
C847-d14-WRC_R1	NS.2055.003.IDT_i7_5---IDT_i5_5.C847-d14-WRC_R1	rumen	14
C847-d14-WRC_R2	NS.2055.003.IDT_i7_5---IDT_i5_5.C847-d14-WRC_R2	rumen	14
C847-d21-M_R1	NS.2055.002.IDT_i7_140---IDT_i5_140.C847-d21-M_R1	milk	21
C847-d21-M_R2	NS.2055.002.IDT_i7_140---IDT_i5_140.C847-d21-M_R2	milk	21
C847-d21-WRC_R1	NS.2055.003.IDT_i7_8---IDT_i5_8.C847-d21-WRC_R1	rumen	21
C847-d21-WRC_R2	NS.2055.003.IDT_i7_8---IDT_i5_8.C847-d21-WRC_R2	rumen	21
C847-d28-M_R1	NS.2055.002.IDT_i7_2---IDT_i5_2.C847-d28-M_R1	milk	28
C847-d28-M_R2	NS.2055.002.IDT_i7_2---IDT_i5_2.C847-d28-M_R2	milk	28
C847-d28-WRC_R1	NS.2055.003.IDT_i7_66---IDT_i5_66.C847-d28-WRC_R1	rumen	28
C847-d28-WRC_R2	NS.2055.003.IDT_i7_66---IDT_i5_66.C847-d28-WRC_R2	rumen	28
C847-d2-M_R1	NS.2055.002.IDT_i7_126---IDT_i5_126.C847-d2-M_R1	milk	2
C847-d2-M_R2	NS.2055.002.IDT_i7_126---IDT_i5_126.C847-d2-M_R2	milk	2
C847-d2-WRC_R1	NS.2055.002.IDT_i7_4---IDT_i5_4.C847-d2-WRC_R1	rumen	2
C847-d2-WRC_R2	NS.2055.002.IDT_i7_4---IDT_i5_4.C847-d2-WRC_R2	rumen	2
C847-d7-M_R1	NS.2055.002.IDT_i7_127---IDT_i5_127.C847-d7-M_R1	milk	7
C847-d7-M_R2	NS.2055.002.IDT_i7_127---IDT_i5_127.C847-d7-M_R2	milk	7
C847-d7-WRC_R1	NS.2055.003.IDT_i7_64---IDT_i5_64.C847-d7-WRC_R1	rumen	7
C847-d7-WRC_R2	NS.2055.003.IDT_i7_64---IDT_i5_64.C847-d7-WRC_R2	rumen	7
C9009-d14-M_R1	NS.2055.002.IDT_i7_49---IDT_i5_49.C9009-d14-M_R1	milk	14
C9009-d14-M_R2	NS.2055.002.IDT_i7_49---IDT_i5_49.C9009-d14-M_R2	milk	14
C9009-d14-WRC_R1	NS.2055.003.IDT_i7_69---IDT_i5_69.C9009-d14-WRC_R1	rumen	14
C9009-d14-WRC_R2	NS.2055.003.IDT_i7_69---IDT_i5_69.C9009-d14-WRC_R2	rumen	14
